CarMake,CarModel,CarYear,CarPrice,CarCondition,MilesOnCar,PostingDate,PostingUrl,CarImageLink,PostingRegion
N/A,N/A,2007,6500.0,good,115200,2021-05-22,https://bellingham.craigslist.org/cto/d/lynden-2007-mercedes-benz-c280/7325715512.html,https://images.craigslist.org/00N0N_2PQgJXIb76uz_0CI0t2_600x450.jpg,Bellingham
Oldsmobile,Super 88,1953,10000.0,good,1234,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-53-olds-super-88-hot-rod/7325709653.html,https://images.craigslist.org/00e0e_epScPeDGJXez_0ww0oo_600x450.jpg,Bellingham
Ford,explorer,2001,900.0,fair,175,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-2001-ford-explorer-sport/7325698735.html,https://images.craigslist.org/00w0w_6ihjoGuiOq4z_0lM0CI_600x450.jpg,Bellingham
N/A,N/A,2004,8000.0,like new,70000,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-2004-lincoln-towncar/7325685247.html,https://images.craigslist.org/00c0c_69xKcdh3Mgqz_0CI0t2_600x450.jpg,Bellingham
Suzuki,honda mitsubishi,1990,5995.0,N/A,61000,2021-05-22,https://bellingham.craigslist.org/ctd/d/happy-valley-1990-suzuki-every-mini-van/7325679459.html,https://images.craigslist.org/00b0b_5bdLzZV4pALz_0CI0t2_600x450.jpg,Bellingham
Jeep,commander,2006,6999.0,excellent,120000,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-2006-jeep-commander-custom/7325664602.html,https://images.craigslist.org/00505_bmIgQ8OI88sz_0CI0iP_600x450.jpg,Bellingham
Ford,f150,2007,8000.0,excellent,136000,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-2007-ford-150/7325660696.html,https://images.craigslist.org/00w0w_fAGL15DsFTiz_0CI0t2_600x450.jpg,Bellingham
Ram,1500 Sport,2017,642.0,excellent,62000,2021-05-22,https://bellingham.craigslist.org/ctd/d/spokane-642-mo-ram-1500-sport-lifetime/7325644071.html,https://images.craigslist.org/00C0C_eOQKoh1GsJQz_0fe0bq_600x450.jpg,Bellingham
Jeep,Grand Cherokee SRT-8,2017,834.0,excellent,18515,2021-05-22,https://bellingham.craigslist.org/ctd/d/spokane-834-mo-jeep-grand-cherokee-srt/7325637741.html,https://images.craigslist.org/01616_8eQo0JKe60Sz_0fe0bq_600x450.jpg,Bellingham
Gmc,Sierra 1500 Base,2018,36999.0,good,43874,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2018-gmc-sierra-1500-base/7325633434.html,https://images.craigslist.org/00n0n_iEJVC6BPaGwz_0gw0co_600x450.jpg,Bellingham
Ford,Escape SEL,2018,21999.0,good,34783,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2018-ford-escape-sel/7325633341.html,https://images.craigslist.org/00l0l_gCDxMm9ss8pz_0gw0co_600x450.jpg,Bellingham
Ford,Escape SE,2014,12999.0,good,75690,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2014-ford-escape-se/7325633275.html,https://images.craigslist.org/00m0m_6iNaiFeJARhz_0gw0co_600x450.jpg,Bellingham
Infiniti,QX60 Base,2018,32999.0,good,24748,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2018-infiniti-qx60-base/7325633211.html,https://images.craigslist.org/00O0O_hpiRFmONyXdz_0gw0co_600x450.jpg,Bellingham
Ford,Fusion SE,2016,14999.0,good,75678,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2016-ford-fusion-se/7325633127.html,https://images.craigslist.org/00B0B_jhh3Ox3Lb7zz_0gw0co_600x450.jpg,Bellingham
Ram,1500 Laramie,2017,577.0,excellent,32574,2021-05-22,https://bellingham.craigslist.org/ctd/d/spokane-577-mo-ram-1500-laramie/7325631405.html,https://images.craigslist.org/00z0z_c0J3S0umJ4jz_0fe0bq_600x450.jpg,Bellingham
Chevrolet,Lumina,1996,1500.0,good,155489,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-1996-chevrolet-lumina/7325626806.html,https://images.craigslist.org/00Z0Z_6ybWdz5aLvaz_0CI0t2_600x450.jpg,Bellingham
Ford,explorer eddie bauer,2002,5000.0,excellent,150875,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-exceptional-ford-explorer/7325624968.html,https://images.craigslist.org/00B0B_7oXczBkYJhOz_0CI0lO_600x450.jpg,Bellingham
Toyota,RAV4,2001,3995.0,excellent,210000,2021-05-22,https://bellingham.craigslist.org/ctd/d/bellingham-2001-toyota-rav4-lowmiles/7325619682.html,https://images.craigslist.org/00Q0Q_g7AKG25zvwyz_0CI0t2_600x450.jpg,Bellingham
Volkswagen,Golf,2010,7200.0,excellent,97933,2021-05-22,https://bellingham.craigslist.org/cto/d/bellingham-2010-volkswagen-golf-4dr/7325605103.html,https://images.craigslist.org/00606_MSvR3BrvDQz_0CI0rH_600x450.jpg,Bellingham
,,2001,1300.0,fair,260000,2021-05-22,https://bellingham.craigslist.org/cto/d/ferndale-2001-volvo-v70-24t/7325598594.html,https://images.craigslist.org/00H0H_chUQ81z4c5Dz_0CI0t2_600x450.jpg,Bellingham
